   Compiling compositor v0.1.0 (/Users/rutmehta/Developer/tessera/.worktrees/M5-08/crates/compositor)
    Finished `release` profile [optimized] target(s) in 1.18s
     Running tests/bench.rs (/Volumes/betterSSD/tessera-cache/target/M5-08/release/deps/bench-7d69129e3441e55c)

running 1 test
prefix=93 id=LayerId(73) mode=HardMix CPU=[0.26232788, 0.6107323, 0.50532925, 1.0] GPU=[-1.0774541e-11, 0.6107323, 0.50532925, 1.0] error=2.6232788e-1
prefix=94 id=LayerId(74) mode=Difference CPU=[0.1429944, 0.4665288, 0.3646471, 1.0] GPU=[-5.873181e-12, 0.4665288, 0.3646471, 1.0] error=1.429944e-1
prefix=95 id=LayerId(75) mode=Exclusion CPU=[0.057197753, 0.49224767, 0.3968229, 1.0] GPU=[-2.3492718e-12, 0.49224764, 0.3968229, 1.0] error=5.7197753e-2
prefix=96 id=LayerId(76) mode=Subtract CPU=[0.03532801, 0.3198301, 0.2764056, 1.0] GPU=[-1.4510203e-12, 0.3198301, 0.2764056, 1.0] error=3.532801e-2
prefix=97 id=LayerId(77) mode=Divide CPU=[0.017040573, 0.43543556, 0.41383845, 1.0] GPU=[-6.9990406e-13, 0.43543556, 0.41383848, 1.0] error=1.7040573e-2
prefix=98 id=LayerId(78) mode=Hue CPU=[0.014100241, 0.43488085, 0.41905698, 1.0] GPU=[0.00033411014, 0.43488085, 0.41905698, 1.0] error=1.376613e-2
prefix=99 id=LayerId(79) mode=Saturation CPU=[0.0098977825, 0.43588623, 0.41796753, 1.0] GPU=[0.00023452351, 0.4358862, 0.41796756, 1.0] error=9.663259e-3
prefix=100 id=LayerId(80) mode=Color CPU=[0.0057057994, 0.4343401, 0.43187213, 1.0] GPU=[0.00013518344, 0.43434003, 0.43187213, 1.0] error=5.570616e-3

thread 'm5_08_l0_prefix_trace' (78093806) panicked at crates/compositor/tests/bench.rs:211:5:
prefix CPU gate: 7.764706e-1
note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
test m5_08_l0_prefix_trace ... FAILED

failures:

failures:
    m5_08_l0_prefix_trace

test result: FAILED. 0 passed; 1 failed; 0 ignored; 0 measured; 4 filtered out; finished in 16.39s

error: test failed, to rerun pass `-p compositor --test bench`
